dates,Title,Files,Not OK?,Political Influence,Scientific Data Mentioned,Statistical Data Mentioned,Source Mentioned,Authenticity,Stance Detection,Location,Focus,Target,Authority Involvement,Comments,Done,Annotator
18 April 2021 11:49,ঢাকায় বায়ু দূষণ রোধে করণীয়,ID-1.txt,False,No,Yes,Yes,Yes,Real,Positive,Bangladesh,Air Pollution,Industries,,,No,
26 November 2019 04:34,বায়ু দূষণ কমাতে ঢাকাসহ ৫ জেলায় ইটভাটা বন্ধের নির্দেশ,ID-10.txt,False,No,No,Yes,Yes,Real,Positive,Bangladesh,Air Pollution,Industries,Crime/Police,,No,
20 February 2024 08:07,ঝুঁকিপূর্ণ বাতাস: ঢাকায় ঘরের বাইরে মাস্ক পরার পরামর্শ,ID-100.txt,False,No,No,No,No,Maybe Fake,Neutral,Bangladesh,Air Pollution,,,,No,
08 June 2022 18:22,"পরিবেশের স্বাস্থ্যরক্ষায় সব শেষে ভারত! অনুমানের ভিত্তিতে তৈরি তালিকা, দাবি কেন্দ্রের",ID-1000.txt,False,No,No,No,No,Real,Neutral,India,Environmental Protection,,,,No,
06 June 2022 08:32,"পরিবেশ রক্ষায় বহুমাত্রিক প্রচেষ্টা, দাবি মোদীর",ID-1003.txt,False,Yes,No,No,No,Real,Positive,India,Environmental Protection,General People,Environmental/Forestry Authority,,No,
05 June 2022 16:49,"বাড়ির আবর্জনাতেও দূষিত হয় পরিবেশ, কী ভাবে ফেললে দূষণ ছড়াবে না",ID-1007.txt,False,No,No,No,No,Maybe Real,Positive,Bangladesh,Environmental Protection,General People,General people,,No,
05 June 2022 08:11,"জ়োনের ভিত্তিতে দূষণ রোধের পুর প্রস্তাব, সংশয়",ID-1009.txt,False,No,No,No,No,Real,Neutral,India,Environmental Protection,General People,Scientists & Researcher,,No,
03 September 2022 08:37,প্লাস্টিক বর্জ্যে মারাত্মক পরিবেশ ঝুঁকিতে কক্সবাজার',ID-101.txt,False,No,No,Yes,Yes,Real,Positive,Bangladesh,Plastic Pollution,General People,Environmental/Forestry Authority,,No,
04 June 2022 06:47,"‘শুধু রাষ্ট্রের দায় নয়, পরিবেশ রক্ষার দায়িত্ব নিতে হবে সকলকে’",ID-1012.txt,False,Yes,No,No,No,Real,Positive,India,Environmental Protection,General People,Government,,No,
27 May 2022 06:42,টাস্ক ফোর্সের ব্যর্থতার দায় নির্দিষ্ট করার নির্দেশ,ID-1017.txt,False,Yes,No,No,No,Real,Positive,India,Environmental Pollution,Government,Legal/Court,,No,
