dates,Title,File,Political Influence,Scientific Data Mentioned,Statistical Data Mentioned,Source Mentioned,Authenticity,Stance Detection,Location,Focus,Target,Authority Involvement
18 April 2021 11:49,ঢাকায় বায়ু দূষণ রোধে করণীয়,ID-1.txt,No,Yes,Yes,Yes,Real,Positive,Bangladesh,Air Pollution,Industries,N/A
26 November 2019 04:34,বায়ু দূষণ কমাতে ঢাকাসহ ৫ জেলায় ইটভাটা বন্ধের নির্দেশ,ID-10.txt,No,No,Yes,Yes,Real,Positive,Bangladesh,Air Pollution,Industries,Crime/Police
20 February 2024 08:07,ঝুঁকিপূর্ণ বাতাস: ঢাকায় ঘরের বাইরে মাস্ক পরার পরামর্শ,ID-100.txt,No,No,No,No,Maybe Fake,Neutral,Bangladesh,Air Pollution,N/A,N/A
08 June 2022 18:22,"পরিবেশের স্বাস্থ্যরক্ষায় সব শেষে ভারত! অনুমানের ভিত্তিতে তৈরি তালিকা, দাবি কেন্দ্রের",ID-1000.txt,No,No,No,No,Real,Neutral,India,Environmental Protection,N/A,N/A
06 June 2022 08:32,"পরিবেশ রক্ষায় বহুমাত্রিক প্রচেষ্টা, দাবি মোদীর",ID-1003.txt,Yes,No,No,No,Real,Positive,India,Environmental Protection,General People,Environmental/Forestry Authority
05 June 2022 16:49,"বাড়ির আবর্জনাতেও দূষিত হয় পরিবেশ, কী ভাবে ফেললে দূষণ ছড়াবে না",ID-1007.txt,No,No,No,No,Maybe Real,Positive,Bangladesh,Environmental Protection,General People,General people
05 June 2022 08:11,"জ়োনের ভিত্তিতে দূষণ রোধের পুর প্রস্তাব, সংশয়",ID-1009.txt,No,No,No,No,Real,Neutral,India,Environmental Protection,General People,Scientists & Researcher
03 September 2022 08:37,প্লাস্টিক বর্জ্যে মারাত্মক পরিবেশ ঝুঁকিতে কক্সবাজার',ID-101.txt,No,No,Yes,Yes,Real,Positive,Bangladesh,Plastic Pollution,General People,Environmental/Forestry Authority
04 June 2022 06:47,"‘শুধু রাষ্ট্রের দায় নয়, পরিবেশ রক্ষার দায়িত্ব নিতে হবে সকলকে’",ID-1012.txt,Yes,No,No,No,Real,Positive,India,Environmental Protection,General People,Government
27 May 2022 06:42,টাস্ক ফোর্সের ব্যর্থতার দায় নির্দিষ্ট করার নির্দেশ,ID-1017.txt,Yes,No,No,No,Real,Positive,India,Environmental Pollution,Government,Legal/Court
20 May 2022 04:48,"হয় উন্নয়ন, নয় পরিবেশ?",ID-1018.txt,Yes,No,No,No,Problematic,Positive,India,Environmental Pollution,Government,N/A
03 July 2023 09:06,"লবণযুক্ত চামড়া সংগ্রহ শুরু, দূষণ আর বিক্রি নিয়ে চিন্তায় ট্যানারি ...",ID-102.txt,No,No,No,No,Real,Neutral,Bangladesh,Water Pollution,Industries,N/A
18 May 2022 16:55,দূষণের কারণে মৃত্যুতে বিশ্বে শীর্ষে ভারত! প্রতি বছর প্রাণ হারাচ্ছেন ২৪ লক্ষ,ID-1020.txt,No,No,Yes,Yes,Real,Positive,India,Environmental Pollution,N/A,N/A
16 May 2022 19:46,পরিবেশ সমীক্ষা করতে এভারেস্টের চূড়া টপকে নজির চিনা আকাশযানের,ID-1021.txt,No,Yes,No,No,Real,Positive,Global,Global Warming,N/A,N/A
30 April 2022 06:20,"ধাপায় টেনিস কোর্ট না গল্ফ কোর্স, ঠিক করবে বিশেষজ্ঞ কমিটি",ID-1029.txt,No,No,No,No,Real,Positive,India,Environmental Protection,N/A,Government
11 June 2023 04:35,"কুষ্টিয়ায় চাল কলের বর্জ্যে দূষিত গঙ্গা-কপোতাক্ষ সেচ খাল, হুমকিতে ...",ID-103.txt,No,No,No,No,Real,Neutral,Bangladesh,Water Pollution,Industries,N/A
28 April 2022 04:36,সম্পাদক সমীপেষু: গঙ্গার মুক্তি,ID-1031.txt,Yes,No,Yes,Yes,Real,Problematic,India,Water Pollution,All,Other Authority
07 March 2024 10:15,এস আলমের চিনিকলে অগ্নিকাণ্ডে পরিবেশের ক্ষতি নিরূপণে কমিটি,ID-104.txt,No,No,No,No,Real,Neutral,Bangladesh,Environmental Pollution,Industries,Environmental/Forestry Authority
16 March 2024 13:21,"প্লাস্টিকের বদলে ধাতব বোতলে জল খাচ্ছেন? স্টিল না তামা, কোনটি বেশি স্বাস্থ্যকর?",ID-1041.txt,No,No,No,No,Maybe Real,Positive,India,Plastic Pollution,General People,Scientists & Researcher
11 March 2024 10:00,"মোদীর সভার মাঠে উড়ছে প্লাস্টিক, ক্ষোভ",ID-1042.txt,No,No,No,No,Real,Negative,India,Plastic Pollution,General People,Legal/Court
20 February 2024 09:28,"আঁধারে পথ দেখাবে ‘নীল রাস্তা’, কমবে প্লাস্টিক দূষণও",ID-1045.txt,No,Yes,Yes,Yes,Real,Positive,India,Plastic Pollution,N/A,Government
11 February 2024 08:42,বাঙুর পথ দেখালেও দমদমের সর্বত্র প্লাস্টিক বর্জনে আসেনি সাফল্য,ID-1048.txt,No,No,No,Yes,Maybe Real,Problematic,India,Plastic Pollution,General People,General people
11 February 2024 08:29,"জরিমানা আদায়ও থমকে, ‘নিষিদ্ধ’ প্লাস্টিকের দেদার ব্যবহার চলছেই",ID-1049.txt,No,No,Yes,Yes,Real,Positive,India,Plastic Pollution,General People,Crime/Police
31 December 2023 11:03,বছরের শেষ দিনে বিশ্বের সবচেয়ে দূষিত বাতাস ঢাকায়,ID-105.txt,No,Yes,Yes,Yes,Maybe Real,Positive,Bangladesh,Air Pollution,All,N/A
18 December 2023 09:45,ডায়মন্ড হারবার শহরে প্লাস্টিক বন্ধ করতে অভিযান পুরসভার,ID-1053.txt,No,No,No,No,Real,Positive,India,Plastic Pollution,General People,Legal/Court
25 November 2023 09:03,ইজ়রায়েলের প্রযুক্তিতে পলিহাউস চাষ চুঁচুড়ায়,ID-1056.txt,No,No,Yes,Yes,Real,Positive,India,Environmental Protection,N/A,N/A
06 March 2024 09:26,২০১০-এর চেয়ে ২০২৫ সালে বঙ্গোপসাগরে মিলবে পাঁচগুণ বেশি প্লাস্টিক,ID-106.txt,No,No,Yes,No,Maybe Real,Positive,Bangladesh,Plastic Pollution,Industries,N/A
02 November 2023 08:01,পুজোয় প্লাস্টিকের ব্যবহার বেড়েছে দমদমে,ID-1063.txt,No,No,No,No,Real,Positive,India,Plastic Pollution,General People,Government
25 October 2023 12:03,প্লাস্টিকের ব্যবহার কমাতে এরা কী ভাবছে?,ID-1065.txt,No,No,No,No,Real,Problematic,India,Plastic Pollution,General People,N/A
20 October 2023 09:18,পরিবেশবান্ধব উপকরণে মণ্ডপের সজ্জায় চমক,ID-1066.txt,No,No,No,No,Real,Positive,India,Environmental Protection,N/A,Other Authority
30 August 2023 10:39,গবেষণা: তীব্র বায়ু দূষণে দক্ষিণ এশিয়ার বাসিন্দাদের 'আয়ু কমছে',ID-107.txt,No,Yes,Yes,Yes,Real,Positive,Global,Air Pollution,All,N/A
11 August 2023 04:55,নির্বিকল্প প্লাস্টিক,ID-1074.txt,No,No,No,No,Real,Positive,India,Plastic Pollution,Government,General people
22 July 2023 05:43,"লক্ষ্য প্লাস্টিক-মুক্ত দেশ, দিশা বাঙালি বিজ্ঞানীদের",ID-1077.txt,No,Yes,No,No,Real,Positive,India,Plastic Pollution,Government,Scientists & Researcher
16 July 2023 12:56,"প্লাস্টিক সম্পূর্ণ নিষিদ্ধ করে দিল নাগাল্যান্ড, বাড়িতে রাখলেও জরিমানা অবধারিত",ID-1079.txt,No,No,No,No,Real,Positive,India,Plastic Pollution,N/A,Government
20 December 2022 05:16,সাগরের নৈসর্গিক সৌন্দর্য ছাপিয়ে কক্সবাজারের সঙ্গী এখন দূষণ,ID-108.txt,No,No,No,No,Real,Positive,Bangladesh,Water Pollution,Authority,Legal/Court
27 June 2023 05:42,ব্যাধির শিকড়,ID-1083.txt,No,No,Yes,Yes,Real,Positive,India,Environmental Pollution,Authority,General people
06 June 2023 09:24,"আইন রয়েছে, তবু থেমে নেই নিষিদ্ধ প্লাস্টিকের দেদার ব্যবহার",ID-1085.txt,No,No,Yes,Yes,Real,Positive,India,Plastic Pollution,Industries,Government
05 June 2023 06:07,প্লাস্টিক নামক ব্যাধি,ID-1086.txt,No,Yes,Yes,Yes,Real,Positive,India,Plastic Pollution,N/A,Environmental/Forestry Authority
28 April 2024 10:06,অস্বাস্থ্যকর' বায়ু নিয়ে দূষিত শহরের তালিকায় ঢাকা ষষ্ঠ,ID-109.txt,No,No,Yes,Yes,Real,Neutral,Bangladesh,Air Pollution,Industries,Environmental/Forestry Authority
26 March 2023 09:32,প্লাস্টিক ক্যারিব্যাগের ব্যবহার নিয়ে মেয়রের উদ্যোগে ‘বিতর্ক’,ID-1099.txt,No,No,Yes,Yes,Real,Positive,India,Plastic Pollution,General People,Government
24 November 2020 10:46,বায়ু দূষণ: ৯ দফা নির্দেশনা বাস্তবায়নে পদক্ষেপ গ্রহণের নির্দেশ,ID-11.txt,No,No,No,No,Real,Positive,Bangladesh,Air Pollution,N/A,Legal/Court
13 June 2023 12:29,প্রধানমন্ত্রীর পরিবেশ বিষয়ক বিশেষ দূত হলেন সাবের হোসেন চৌধুরী,ID-110.txt,Yes,No,No,No,Real,Neutral,Bangladesh,Environmental Pollution,N/A,Other Authority
10 March 2023 12:16,প্লাস্টিকের বিষধোঁয়ায় শ্বাসরুদ্ধ কেরলের কোচি! ভয় ধরাচ্ছে ব্রহ্মপুরমের ‘ডাম্পিং ইয়ার্ড’,ID-1103.txt,No,No,No,No,Real,Positive,Bangladesh,Plastic Pollution,Government,Legal/Court
11 February 2023 04:48,কলুষিত,ID-1109.txt,No,No,No,No,Real,Positive,India,Environmental Pollution,General People,N/A
31 January 2023 23:46,"নিষিদ্ধ প্লাস্টিক ক্যারিব্যাগ ব্যবহার নিয়ে বচসা, হাতাহাতিতে জড়ালেন তৃণমূল কাউন্সিলর",ID-1110.txt,Yes,No,No,No,Real,Positive,India,Plastic Pollution,Dishonest people,Government
17 January 2023 07:29,অবাধে প্লাস্টিক কেঁদুলির মেলায়,ID-1114.txt,No,No,No,No,Real,Problematic,India,Plastic Pollution,General People,Other Authority
31 December 2022 18:29,প্লাস্টিক ব্যাগে রান্নার গ্যাস? আর্থিক সঙ্কটে জেরবার পাকিস্তানে ‘বিপদের ছবি’,ID-1116.txt,No,No,Yes,No,Real,Negative,Others,Plastic Pollution,General People,Scientists & Researcher
02 March 2024 10:13,ঢাকার চেয়ে দূষিত বাতাস আজ আর কোথাও নেই,ID-112.txt,No,No,Yes,Yes,Real,Positive,Bangladesh,Air Pollution,Industries,Other Authority
26 October 2022 19:42,প্লাস্টিক গিলে জল শুদ্ধ করবে রোবট মাছ! রোবটদের প্রতিযোগিতাও জিতল গিলবার্ট,ID-1128.txt,No,No,No,Yes,Real,Positive,Others,Environmental Protection,N/A,N/A
01 January 2024 11:20,বিশ্বের সবচেয়ে দূষিত বাতাস নিয়ে নতুন বছর শুরু ঢাকাবাসীর,ID-113.txt,No,No,Yes,Yes,Real,Positive,Bangladesh,Air Pollution,N/A,Other Authority
30 August 2022 08:31,"নজরদারির ফাঁক গলে, দেদার প্লাস্টিক হাওড়ায়",ID-1134.txt,No,No,No,No,Real,Positive,India,Plastic Pollution,General People,Other Authority
31 July 2022 06:42,"প্লাস্টিক-বিধি নিয়ে পুর কড়াকড়ি, তবু নিয়ম মানছেন না একাংশ",ID-1135.txt,No,No,No,No,Real,Negative,India,Plastic Pollution,General People,Government
22 July 2022 06:52,"মাইক থেকে থার্মোকল ব্যবহার, পরিবেশবিধি ভঙ্গের অভিযোগ সমাবেশে",ID-1136.txt,No,No,Yes,Yes,Real,Positive,India,Sound Pollution,General People,Environmental/Forestry Authority
16 July 2022 09:50,৩০ হাজার কেজি প্লাস্টিক বর্জ্য দিয়ে তৈরি রাস্তা! তাক লাগাল বেঙ্গালুরু,ID-1137.txt,No,No,Yes,Yes,Real,Positive,India,Environmental Protection,N/A,N/A
13 July 2022 07:03,এ বার গ্রামাঞ্চলকে প্লাস্টিক ক্যারিব্যাগমুক্ত করতে শুরু প্রচার,ID-1139.txt,No,No,No,No,Real,Positive,India,Environmental Protection,General People,Government
12 July 2022 20:55,প্লাস্টিক-বিধি না মানায় ছ’লক্ষ টাকার জরিমানা আদায় শুধু বেঙ্গালুরুতেই,ID-1140.txt,No,No,No,No,Real,Positive,India,Plastic Pollution,Industries,Crime/Police
05 July 2022 06:36,সূচনা হল কি,ID-1145.txt,Yes,No,No,No,Real,Neutral,India,Plastic Pollution,General People,Government
